open,high,low,close,volume,marketCap,daily_return,price_range,open_close_change,volume_marketcap_ratio,rolling_mean_7,rolling_std_7,rolling_mean_volume_7,realized_volatility_7
-0.15778686575678644,-0.1570135067412274,-0.157491297146026,-0.15729358113741435,-0.2338285271111138,-0.19724590739836528,0.7871914949569316,-0.08936852374952989,0.00972377493781422,-0.35146492750462294,-0.1571797896646037,-0.13084498251958926,-0.24035497846669057,244.14613390211966
-0.15721241017979165,-0.1563141315927739,-0.15683030708823287,-0.15685821352587292,-0.23380206302240264,-0.19709327423917888,0.5445479373443333,-0.08858415458735165,0.00618149893512367,-0.3502176059855797,-0.15728784747104535,-0.13276235986154566,-0.24033883953228516,0.2707782348920907
-0.15677691779938543,-0.1563054317029194,-0.15644034305559965,-0.15675914406831487,-0.2338411301991381,-0.19705854201802175,0.08143352704210799,-0.09221436574173877,-0.002403870774065902,-0.3524404209987681,-0.1573689172274584,-0.1345541099237992,-0.24032844469495157,0.2720223450885852
-0.1566775075042623,-0.1557643186452339,-0.15643297326125172,-0.15627452578417098,-0.23377344171345532,-0.1968886423333663,0.5737597642956342,-0.08680134738318142,0.007437374901738593,-0.3490790039876128,-0.1573952891102272,-0.13543931298054435,-0.24030809753280472,0.285857746873216
-0.15619275896546356,-0.15520635197218668,-0.15626932028284116,-0.15648401132669978,-0.23377023595017646,-0.19696208472842539,-0.301787447347715,-0.08270773083973765,-0.010286728532154576,-0.34874862436363596,-0.15716069186616397,-0.13564421629820908,-0.240296035991479,-0.03168247313796919
-0.15635557474716608,-0.15513852380776894,-0.1562633538876745,-0.15644788045481053,-0.23359187597140157,-0.19694941780297645,-0.001843097081206006,-0.08207729453609251,-0.005207968088029922,-0.3392436316852292,-0.15685859297760352,-0.14085026244392748,-0.24025924790735537,-0.10908188015030096
-0.15635280734229126,-0.15619106469717062,-0.15735052777786254,-0.15781966785612178,-0.2333109078822816,-0.19743034527598163,-1.7466502830465631,-0.08237668553379293,-0.04031840611516408,-0.31890106455090783,-0.15685174229406396,-0.14114317092233802,-0.24019580620233297,0.09070449324668742
-0.15795125473974048,-0.15768128345405952,-0.15829513312064203,-0.15866998636809873,-0.2285130547409342,-0.19555095642580533,-1.2751413520057495,-0.0884706357983928,-0.021237959969724333,-0.15219449450223432,-0.15704866457219505,-0.13433387926827767,-0.239414265486356,0.1090245166793007
-0.15859168973912463,-0.15783248607688705,-0.1583938187724188,-0.15831823896702552,-0.22948499545479967,-0.19532447844241432,0.5195403256792894,-0.08906184192929363,0.004093850340744403,-0.1965196158368724,-0.1572575503927307,-0.13200505881096483,-0.23877952150826032,0.10693760705548683
-0.15823362296021354,-0.1580745769757323,-0.15821983595817413,-0.15843479354608753,-0.22978105851463548,-0.19539952390400517,-0.22595151054959603,-0.09317398919326553,-0.008022957012133299,-0.2049393080357176,-0.15749728554133086,-0.13075914929928154,-0.23818256396427498,0.09898323150966813
-0.15833762282750266,-0.15821209642735307,-0.15891350598153028,-0.15932483615806187,-0.22887722498676447,-0.1959725915523136,-1.4357786041358007,-0.08795326652849557,-0.02810287706047433,-0.14754958849557728,-0.1579336934061388,-0.1299003747356759,-0.23746266694296336,0.08579577360094999
-0.15923927165439236,-0.15906461301233216,-0.1596594968494059,-0.16004524994695832,-0.2277186786017535,-0.19643644106944425,-1.3188686945517647,-0.08947897569091201,-0.023489995544175784,-0.06891491802274707,-0.1584431997683901,-0.12901523461046577,-0.23657289870911918,0.09625031653294906
-0.15995229810964376,-0.15892621320923397,-0.1596697560147264,-0.1594849917755141,-0.2294347874416823,-0.19607571021474599,1.0603174715952828,-0.08797869859364853,0.009020733740517093,-0.1661739104018,-0.1588777192448333,-0.13642711971742466,-0.23596167665402512,0.21513440006022214
-0.15941728821383108,-0.15841961665171062,-0.1593711255076348,-0.1589452323968197,-0.22832284853465243,-0.19506220449331466,0.9294017457438888,-0.08569266625322651,0.009151803227216178,-0.16460540434104487,-0.15903875374876902,-0.13954046066796097,-0.2352282758944328,0.22205055332309767
-0.1589219508669057,-0.15792924278239104,-0.15872492716518588,-0.15825815076156366,-0.22614062137931273,-0.1945009607997895,1.102027204197396,-0.08688513978140275,0.014058589820760083,-0.11540384816248947,-0.15897983243399455,-0.1383831087401713,-0.2348794539762809,0.2207410664576292
-0.15817774417536443,-0.1579487411166775,-0.15837537202848562,-0.15867766030250643,-0.22802246686837555,-0.19481308281141935,-0.6867101575225194,-0.09041578817384097,-0.015652846852644217,-0.16342148397275386,-0.15903125483970326,-0.1393146454683239,-0.23466441652354517,0.22917037208832644
-0.15859755330745262,-0.1582242520247832,-0.1585938491821646,-0.1589690857353707,-0.2294205674410493,-0.19502990813647583,-0.5164724719511999,-0.09112442287404672,-0.012381172720679906,-0.20320324727220687,-0.1591076960161502,-0.14039293372454983,-0.2346114130589172,0.23531630613700447
-0.15888918653351405,-0.15854596986417993,-0.15908388952471966,-0.1593207748386255,-0.22877331252241764,-0.19529157062581814,-0.6367812718945033,-0.0897118897999322,-0.013920506410053903,-0.1720364914049295,-0.1591071149632322,-0.14039821883252987,-0.23459613467608895,0.17108632840631566
-0.15924112869329543,-0.1585996943304422,-0.15920059174964293,-0.15953928658921607,-0.22792817510123495,-0.19545414696988622,-0.43239364566764893,-0.08914352425213878,-0.010518686163224465,-0.13456890436006133,-0.15903472679233874,-0.14279905877882307,-0.234626937214941,0.09297701402180732
-0.15945979388695242,-0.1592022680665833,-0.15967907348842952,-0.16000500891720493,-0.22772873544659777,-0.19580065205755925,-0.8960447014024222,-0.0906872167562282,-0.01683329481654951,-0.10965050146122167,-0.15910912563791568,-0.14048557446918705,-0.2343760942032808,0.0713604944070096
-0.15992585005474225,-0.15964137613626525,-0.1604074371500792,-0.16062455931985078,-0.22713927818949917,-0.1962616077669888,-1.2629588681554738,-0.08819178906770546,-0.020762519989924177,-0.055527170139580924,-0.15934938691856027,-0.13583424424524917,-0.2342020723383286,0.03367039691452145
-0.16054584132004107,-0.15985554115751,-0.160494297996455,-0.1602261278089461,-0.2260181662006548,-0.19574712501680408,0.8239211622665029,-0.08953376694905284,0.005239925391988524,-0.045079076131655904,-0.15963094536867423,-0.13797253768725068,-0.2341840675964471,-0.017612497140424066
-0.16014712666691233,-0.15968792477874635,-0.1601420984902294,-0.16051004209276265,-0.22792309209687728,-0.1959641611639777,-0.625105678443572,-0.09119353007802215,-0.012189314156090392,-0.1084591094938479,-0.15989310420714634,-0.13947828651042612,-0.23416945639641482,-0.018827369634126106
-0.16043124370897463,-0.16002212299534951,-0.16035828095537819,-0.160331501982316,-0.22884878410163728,-0.19580768744544907,0.335384923150985,-0.09251874431796983,-0.00037676252819068606,-0.1540243510964593,-0.1600880250815591,-0.1422327618748227,-0.23408538635910736,0.02019578933029516
-0.16025257499565077,-0.15950134116733855,-0.16019356054511744,-0.16050552936376125,-0.2250070123718086,-0.1959401498111687,-0.40775191149528844,-0.08881211313402657,-0.009382482259393978,0.010228015037394261,-0.16025752789578468,-0.14456714094163522,-0.2335316224203077,0.015859593177320927
-0.16042672739033226,-0.16020519144871614,-0.16054377219006097,-0.160822982973528,-0.22811267508662555,-0.1961875608597701,-0.7257499763107127,-0.09260515291702263,-0.013046024305700987,-0.10336556200242619,-0.16044118632049267,-0.14672165830644787,-0.23355874968965237,0.023269644799082487
-0.16080605906893244,-0.15979678780975312,-0.1608481457328086,-0.16027541669696038,-0.22520800212957984,-0.19574562012953697,1.194870446994388,-0.08556440294863044,0.010622973876704512,-0.01324497649070225,-0.1604798735579622,-0.1479104633785247,-0.2331881230389672,0.11296012281622125
-0.16019654636276168,-0.15825331900164477,-0.1599009044564028,-0.15886519033996577,-0.21886573183571886,-0.19462379699892385,2.8501232510254737,-0.07895598508184085,0.03108685032421149,0.12018921891150806,-0.16022816066130324,-0.1393832545628798,-0.23197165291351265,0.31253938589820707
-0.15878521727129877,-0.15631005915475824,-0.15842795221586814,-0.15770956207563275,-0.21342403913805338,-0.1936832030705673,1.8640509834286887,-0.07330908202318989,0.024581167324122806,0.2007321715982173,-0.1598681156351562,-0.12902312846752528,-0.230119922268306,0.3665824381889295
-0.1576287637057645,-0.15569778484701985,-0.15757412951543756,-0.15599053977854785,-0.2160668840731178,-0.19230424434902949,2.403883115947166,-0.07524602705968235,0.03897203749542597,0.045517675938531614,-0.15922151049889752,-0.115574477994385,-0.22837668880524728,0.372832923516326
-0.15590851470983472,-0.1550455141643406,-0.1562186751015903,-0.15577677847302426,-0.1944835852076046,-0.192123167255508,0.20611197287594946,-0.08156081429266486,0.0005229230175725124,0.5119795760161984,-0.15856986626672548,-0.10898727045938401,-0.2233239295624357,0.3793503482302153
-0.15569459871668853,-0.15286765444890751,-0.15557563505200422,-0.15349941676819434,-0.18960301691680467,-0.19010847746129705,2.591684120729376,-0.06562328037177363,0.053233769145965074,0.4271557916548223,-0.15756750183043525,-0.09839255439807217,-0.21811843472973177,0.34490349117204183
-0.1534156116617132,-0.1531468171295222,-0.15547145189495767,-0.15581190397260453,-0.1977393335044636,-0.19197674110571744,-2.24152105957346,-0.06944553811074827,-0.06400549964853143,0.4263166660348983,-0.15685056682411735,-0.10611116288925679,-0.21365260338426006,0.5899593535178173
-0.1557297549074285,-0.154816856418042,-0.15609022377154397,-0.15638849606034488,-0.20893736894905685,-0.19242986165915277,-0.7170837535288619,-0.08046854848722637,-0.019665117534246403,0.2150134886552471,-0.15629446514009773,-0.11789710478461178,-0.21126031133197806,0.6705638911302788
-0.1563067511702068,-0.1536308469619853,-0.15596311352275155,-0.15417654508299444,-0.20134341535956277,-0.1905969507370514,2.6774123253559923,-0.06966231081561003,0.05156292075389378,0.24845189924003597,-0.1556236607252582,-0.12372247934664904,-0.2086839826803275,0.656480339683325
-0.1540932235730488,-0.15322002587373407,-0.15466147392323776,-0.1534965966685645,-0.20901976816369827,-0.19002841967836726,0.6352071081287386,-0.07791065945647518,0.01243079557314141,0.08039429049480933,-0.15502091182024658,-0.1267710969633213,-0.20803641707355944,0.6354188883147769
